name,place_id,google_name,google_address
"Yali’s Cafe","ChIJq6PhM55-hYAR-EokE9qVQdA","Yali’s Cafe","1920 Oxford St, Berkeley, CA 94704"
"1951 Coffee Company","ChIJW2yuxCh8hYARGGQHIaJzsZc","1951 Coffee Company","2410 Channing Way, Berkeley, CA 94704"
"Blue Bottle Coffee","ChIJS4sDZp5-hYARIW-0A3ZOoqM","Blue Bottle Coffee","3083 Claremont Ave, Berkeley, CA 94705"
"Souvenir Coffee, College","ChIJJ-rmLjd9hYARbVcUfNxaw0A","Souvenir Coffee, College","2701 College Ave, Berkeley, CA 94705"
"Peet's Coffee, Telegraph","ChIJY2RivS58hYARUDQo9IrHJx0","Peet's Coffee, Telegraph","2501 Telegraph Ave, Berkeley, CA 94704"
"Cafenated Coffee, Northside","ChIJz4VbokB_hYAR95axLBoPul4","Cafenated Coffee, Northside","2085 Vine St, Berkeley, CA 94709"
"Free Speech Movement Cafe","ChIJ60w1qN9-hYARtzxtM7Qwdw4","Free Speech Movement Cafe","Moffitt Library, UC Berkeley, Berkeley, CA 94720"
"Sodoi Coffee Tasting House","ChIJS4KrsCh8hYARFrqy1pEUSeg","Sodoi Coffee Tasting House","2438 Durant Ave, Berkeley, CA 94704"
"Caffe Strada","ChIJJe5a5i98hYARKF0NeaK-9kM","Caffe Strada","2300 College Ave, Berkeley, CA 94704"
"Ain’t Normal Cafe","ChIJUborLjx_hYARle9InnFaRGA","Ain’t Normal Cafe","5701 College Ave, Oakland, CA 94618"
"Artis Coffee","ChIJMbB3FNt-hYAR-FZpf8Lpdxs","Artis Coffee","1717 4th St, Berkeley, CA 94710"
"Philz Coffee, College","ChIJn-29E8V9hYARmAezYfXpKBo","Philz Coffee, College","6310 College Ave, Oakland, CA 94618"
"Cafenated Coffee, Southside","ChIJGZDBn7R9hYARvUN8FuUOi2Y","Cafenated Coffee, Southside","2960 College Ave, Berkeley, CA 94705"
"The Hidden Cafe","ChIJBXOowZl_hYARlyq3_rFQii0","The Hidden Cafe","1250 Addison St #113, Berkeley, CA 94702"
"Souvenir Coffee, Claremont","ChIJG1xfM899hYARfrx1-OhOLQM","Souvenir Coffee, Claremont","3084 Claremont Ave, Berkeley, CA 94705"
"Romeo’s Coffee","ChIJ0acevi58hYARWbsFtrpCPHI","Romeo’s Coffee","2499 Telegraph Ave, Berkeley, CA 94704"
"CoRo Coffee Roastery","ChIJKX5_xeh-hYARWnaplTv6toM","CoRo Coffee Roastery","2530 Ridge Rd, Berkeley, CA 94709"
"Victory Point Cafe","ChIJc4U-eZ9-hYAR5ih4d-bZpBI","Victory Point Cafe","1797 Shattuck Ave, Berkeley, CA 94709"
